Article_Number,Title,First_Author,Year,Journal,Volume,Issue,Pages
1,A complex landscape favours the abundance and species richness of syrphids (Diptera: Syrphidae) in olive groves,M. Ortega,2023,Ecological Entomology,48,5,568-581
2,"Abundance and diversity of soil invertebrates in annual crops, agroforestry and forest ecosystems in the Nilgiri biosphere reserve of Western Ghats, India",P. Rahman,2011,Agroforest Systems,85,1,165-177
3,Acacia mangium increases the mesofauna density and diversity in the litter layer in Eucalyptus grandis plantations,M. Zagatto,2019,European Journal of Soil Biology,94,NA,103100
4,Adjacent forest moderates insect pollination of oil palm,K. Li,2022,"Agriculture, Ecosystems and Environment",338,NA,108108
5,Aerial invertebrate functional groups respond to landscape composition with only detritivores and predators responding to agri-environment scheme management,A. Arnott,2021,"Agriculture, Ecosystems and Environment",322,NA,107664
6,Agricultural landscape simplification and insecticide use in the Midwestern United States,T. Meehan,2011,Proceedings of the National Academy of Sciences of the United States of America,108,28,11500-11505
7,Agri‑environment schemes are associated with greater terrestrial invertebrate abundance and richness in upland grasslands,A. Arnott,2022,Agronomy for Sustainable Development,42,1,NA
8,Agri-environment schemes enhance pollinator richness and abundance but bumblebee reproduction depends on field size,C. Geppert,2019,Journal of Applied Ecology,57,9,1818-1828
9,Agri-environment schemes targeting farmland bird populations also provide food for pollinating insects,P. Ouvrard,2018,Agricultural and Forest Entomology,20,4,55574
10,Agroecological transition increases arthropod diversity and decreases herbivore abundance on field margins,C. Roig,2023,Agricultural and Forest Entomology,25,3,404-415
11,Alley-cropping system can boost arthropod biodiversity and ecosystem functions in oil palm plantations,M. Ashraf,2018,"Agriculture, Ecosystems and Environment",260,NA,19-26
12,Almond orchards with living ground cover host more wild insect pollinators,M. Saunders,2013,Journal of Insect Conservation,17,5,1011-1025
13,An agro-environmental mowing regime favors the number of inflorescences and flower-visiting insects but not ground beetles of herbaceous boundaries of arable fields,C. Chaudron,2020,Basic and Applied Ecology,48,NA,1--10
14,Annual flower strips and honeybee hive supplementation differently affect arthropod guilds and ecosystem services in a mass-flowering crop,C. Raderschall,2022,Agricultural and Forest Entomology,326,NA,107754
15,Ant biodiversity and ecosystem services in bioenergy landscapes,J. Helms,2020,Agricultural and Forest Entomology,290,NA,106780
16,Ant Communities and Ecosystem Services in Organic Versus Conventional Agriculture in the U.S. Corn Belt,J. Helms,2021,Environmental Entomology,50,6,1276-1285
17,Ant fauna of annual and perennial crops,A. Ješovnik,2019,Applied Ecology and Environmental Research,17,6,1279-12722
18,Anthropogenic disturbance of tropical forests threatens pollination services to açaí palm in the Amazon river delta,A. Campbell,2017,Journal of Applied Ecology,55,4,1725-1736
19,Ants provide biological control on tropical organic farms influenced by local and landscape factor,T. Frizzo,2020,Biological Control,151,NA,104378
20,Aphid suppression by natural enemies in hedgerows surrounding greenhouses in southern Spain ,E. Rodríguez,2023,Biological Control,177,NA,105126
21,Aphids and their natural enemies are differently affected by habitat features at local and landscape scale,B.  Caballero-López,2012,Biological Control,63,2,222-229
22,Are riparian forest reserves sources of invertebrate biodiversity spillover and associated ecosystem functions in oil palm landscapes?,C. Gray,2016,Biological Conservation,194,NA,176-183
23,Arthropod communities and biological control in soybean fields: Forest cover at landscape scale is more influential than forest proximity,E. González,2017,"Agriculture, Ecosystems and Environment",239,8,359-367
24,Arthropod Communities in Urban Agricultural Production Systems under Different Irrigation Sources in the Northern Region of Ghana,L. Amprako,2020,Insects,11,NA,1--18
25,Arthropod overwintering in agri-environmental scheme flowering fields differs among pollinators and natural enemies ,F. Boetzl,2022,"Agriculture, Ecosystems and Environment",330,3,107890
26,At What Spatial Scale Do High-Quality Habitats Enhance the Diversity of Forbs and Pollinators in Intensively Farmed Landscapes?,F. Kohler,2008,Journal of Applied Ecology,45,4,753-762
27,Augmenting flower trait diversity in wildflower strips to optimise the conservation of arthropod functional groups for multiple agroecosystem services,M. Balzan,2014,Journal of Insect Conservation,18,1,713-728
28,Benefcial insects are associated with botanically rich margins with trees on small farms,S. Arnold,2021,Scientific Reports,11,2,15190
29,Biodiversity provides whitefy biological control based on farm management,P. Togni,2019,Journal of Pest Science,92,10,393-403
30,Birds and insects respond differently to combinations of semi-natural features in farm landscapes,M. Hall,2022,Journal of Applied Ecology,59,10,2654-2665
31,Bumblebee nest density and the scale of available forage in arable landscapes,M. Knight,2009,Insect Conservation and Diversity,2,2,116-124
32,Calcareous grassland fragments as sources of bee pollinators for the surrounding agricultural landscape,F. Klaus,2021,Global Ecology and Conservation,26,NA,e01474
33,Can landscape level semi-natural habitat compensate for pollinator biodiversity loss due to farmland consolidation?,X. Shi,2021,"Agriculture, Ecosystems and Environment",319,NA,107519
34,Can native plantings encourage native and beneficial invertebrates on Canterbury dairy farms?,K. Curtis,2019,New Zealand Entomologist,42,2,67-78
35,Change in ladybeetle abundance and biological control of wheat aphids over time in agricultural landscape,L. Yang,2018,"Agriculture, Ecosystems and Environment",255,,
36,Change in termite communities along a chronosequence of mango tree orchards in the north of Côte d’Ivoire,T. Coulibaly,2016,Journal of Insect Conservation,20,,
37,Changes in landscape composition influence the abundance of insects on maize: The role of fruit orchards and alfalfa crops,G. Clemente-Orta,2020,"Agriculture, Ecosystems and Environment",291,,
38,"Changes in landuse alter ant diversity, assemblage composition and dominant functional groups in African savannas",E. Mauda,2018,Biodiversity Conservation,27,,
39,Comparing floral resource maps and land cover maps to predict predators and aphid suppression on field bean,L. Ammann,2022,Landscape Ecology,37,,
40,"Changes in soil mesofauna structure due to different land use systems in south Minas Gerais, Brazil",V. Menezes‑Oliveira,2021,Environmental Monitoring and Assessment,193,,
41,Climate-Smart Agriculture And Trade-Offs With Biodiversity and Crop Yield,H. Tripathi,2022,Frontiers in Sustainable Food Systems,6,,
42,Combining high biodiversity with high yields in tropical agroforests,Y. Clough,2011,Proceedings of the National Academy of Sciences of the United States of America,108,,
43,Commercial spruce plantations support a limited canopy fauna: Evidence from a multi taxa comparison of native and plantation forests,S. Pedley,2014,Forest Ecology and Management,314,,
44,"Comparison of invertebrate biodiversity in New Zealand apple orchards using integrated pest management, with or without codling moth mating disruption, or organic pest management",L. Malone,2017,"Agriculture, Ecosystems and Environment",247,,
45,Competition and Facilitation Effects of Semi-Natural Habitats Drive Total Insect and Pollinator Abundance in Flower Strips,K. Schoch,2022,Frontiers in Ecology and Evolution,10,,
46,Complementarity among natural enemies enhances pest suppression,M. Dainese,2017,Scientific Reports,7,,
47,Complementary crops and landscape features sustain wild bee communities,K. Martins,2018,Ecological Applications,28,,
48,Contrasting effects of land‐use changes on herbivory and pollination networks,N. Shinohara,2019,Ecology and Evolution,9,,
49,Contrasting effects of past and present mass-flowering crop cultivation on bee pollinators shaping yield components in oilseed rape,N. Beyer,2021,"Agriculture, Ecosystems and Environment",319,,
50,"Contrasting processes drive alpha and beta taxonomic, functional and phylogenetic diversity of orthopteran communities in grasslands",B.  Fournier,2017,"Agriculture, Ecosystems and Environment",242,,
51,Contribution of insect pollinators to crop yield and quality varies with agricultural intensification,I. Bartomeus,2014,PeerJ,,,
52,"Conversion of savannah habitats to small-scale agriculture affects grasshopper communities at Mt. Kilimanjaro, Tanzania",J. Kuppler,2015,Journal of Insect Conservation,19,,
53,Creating patches of native flowers facilitates crop pollination in large agricultural fields: mango as a case study,L. Carvalheiro,2012,Journal of Applied Ecology,49,,
54,"Crop cover the principal influence on noncrop ground beetle (Coleoptera, Carabidae) activity and assemblages at the farm scale in a long-term assessment",M. Eyre,2016,Bulletin of Entomological Research,106,,
55,Crop heterogeneity is positively associated with beneficial insect diversity in subtropical farmlands,T. Priyadarshana,2021,Journal of Applied Ecology,58,,
56,Cultural homegarden management practices mediate arthropod communities in Indonesia,M. Toledo-Herna´ndez,2016,Journal of Insect Conservation,20,,
57,Diferences in the insect fauna associated to a monocultural pasture and a silvopasture in Southeastern Brazil,I. Paiva,2020,Scientific Reports,10,,
58,"Direct and Indirect Effects of Planting Density, Nitrogenous Fertilizer and Host Plant Resistance on Rice Herbivores and Their Natural Enemies",F. Horgan,2022,Agriculture,12,,
59,Diverse fower‑visiting responses among pollinators to multiple weather variables in buckwheat pollination,T. Miyashita,2023,Scientific Reports,13,,
60,"Diversity and phenology of epigeal Coleoptera assemblages in lettuce and tomato crops in Northern Buenos Aires province, Argentina",J. Rouaux,2020,Annals of the Brazilian Academy of Sciences,92,,
61,"Diversity of dung beetle (Coleoptera: Scarabaeidae) in oil palm agropasture ecosystem in West Kotawaringin Regency, Central Kalimantan, Indonesia",S. Sa’roni,2020,IOP Conference Series: Earth and Environmental Science,468,,
62,Diversity of Floral Visitors in Apple Orchards: Influence on Fruit Characteristics Depends on Apple Cultivar,P. Nunes-silva,2020,Neotropical Entomology,49,,
63,Diversity patterns of wild bees in almond orchards and their surrounding landscape,Y. Mandelik,2009,Israel Journal of Plant Sciences,57,,
64,Do ecological corridors increase the abundance of soil fauna?,M. Portela,2020,Ecoscience,27,,
65,"Do local landscape features affect wild pollinator abundance, diversity and community composition on Canterbury farms?",K. Macdonald,2018,New Zealand Journal of Ecology,42,,
66,Do Patches of Flowering Plants Enhance Insect Pollinators in Apple Orchards?,M. Barda,2023,Insects,14,,
67,Do riparian reserves support dung beetle biodiversity and ecosystem services in oil palm-dominated tropical landscapes?,C. Gray,2014,Ecology and Evolution,4,,
68,Does agri-environmental management enhance biodiversity and multiple ecosystem services?: A farm-scale experiment ,J. Bullock,2021,"Agriculture, Ecosystems and Environment",320,,
69,Does land use impact on groundwater invertebrate diversity and functionality in floodplains?,C. Espanol,2017,Ecological Engineering,103,,
70,Drastic historic shifts in bumble-bee community composition in Sweden,R. Bommarco,2012,Proceedings: Biological Sciences ,279,,
71,Dung beetle community composition affects dung turnover in subtropical US grasslands,R. Stanbrook,2022,Ecology and Evolution,12,,
72,Dynamics of predatory and herbivorous insects at the farm scale: the role of cropped and noncropped habitats,P. Togni,2019,Agricultural and Forest Entomology,21,,
73,"Earthworm species occurrence in agroecosystems in the Midlands, KwaZulu-Natal, South Africa",T. Nxele,2021,African Invertebrates,62,,
74,"Earthworms in the conversion of natural grasslands to agropastoral systems—a preliminary study in Vale Verde, Rio Grande do Sul, Brazil",F. De Santo,2023,Zootaxa,5255,,
75,"Earthworms, spiders and bees as indicators of habitat quality and management in a low-input farming region—A whole farm approach",A. Kovács-Hostyánszki,2013,Ecological Indicators,33,,
76,"Ecological and social drivers of coffee pollination in Santander, Colombia",L. Bravo-Monroy,2015,"Agriculture, Ecosystems and Environment",211,,
77,Ecological restoration on farmland can drive beneficial functional responses in plant and invertebrate communities,R. Pywell,2011,"Agriculture, Ecosystems and Environment",140,,
78,"Ecological role of control agent, and not just host-specificity, determine risks of biological control",C. Seymour,2010,Austral Ecology,35,,
79,Ecosystem services across the aquatic–terrestrial boundary: Linking ponds to pollination,R. Stewart,2017,Basic and Applied Ecology,18,,
80,Edge Effects on Flower-Visiting Insects in Grapefruit Plantations Bordering Premontane Subtropical Forest,N. Chacoff,2006,Journal of Applied Ecology,43,,
81,Effect of conservation management on bees and insect-pollinated grassland plant communities in three European countries,P. Batary,2010,"Agriculture, Ecosystems and Environment",136,,
82,Efect of habitat amount and complexity on social wasps (Vespidae: Polistinae): implications for biological control,J. Ferreira,2020,Journal of Insect Conservation,24,,
83,"Effect of habitat transformation from grassland to Acacia mangium plantation on dung beetle assemblage in East Kalimantan, Indonesia",A. Ueda,2015,Journal of Insect Conservation,19,,
84,Effect of land use intensification on specialization in plant–floral visitor interaction networks in the Pampas of Argentina,H. Marrero,2014,"Agriculture, Ecosystems and Environment",188,,
85,"Effect of remnant vegetation, pesticides, and farm management on abundance of the beneficial predator Notonomus gravis (Chaudoir) (Coleoptera: Carabidae)",M. Nash,2008,Biological Control,46,,
86,Effect of Weed Management on the Parasitoid Community in Mediterranean Vineyards,G. Möller,2021,Biology,10,,
87,Effectiveness of Multifunctional Margins in Insect Biodiversity Enhancement and RTE Species Conservation in Intensive Agricultural Landscapes,F.  Santa,2021,Agronomy,11,,
88,Effects of adjacent habitat on nocturnal flying insects in vineyards and implications for bat foraging ,P. Chaperon,2022,"Agriculture, Ecosystems and Environment",326,,
89,Effects of agricultural intensification on ability of natural enemies to control aphids,Z. Zhao,2015,Scientific Reports,5,,
90,Effects of Alpine land-use changes: Soil macrofauna community revisited,M. Steinwandter,2017,Ecology and Evolution,7,,
91,Effects of crop type and production method on arable biodiversity in boreal farmland ,M. Toivonen,2022,"Agriculture, Ecosystems and Environment",337,,
92,"Effects of different land use patterns on seasonal termite species diversity within the Vhembe district of the Limpopo province, South Africa",N. Netshifhefhe,2020,International Journal of Tropical Insect Science,40,,
93,Effects of Farming Systems on Insect Communities in the Paddy Fields of a Simplified Landscape During a Pest-control Intervention,C. Koh,2021,Zoological Studies,60,,
94,Effects of field margin type and landscape composition on predatory carabids and slugs in wheat fields,M.  Fusser,2017,"Agriculture, Ecosystems and Environment",247,,
95,Effects of Flower-Enriched Ecological Focus Areas on Functional Diversity Across Scales,L. Nilsson,2021,Frontiers in Ecology and Evolution,9,,
96,Effects of grassland management practices on ant functional groups in central North America,R. Moranz,2013,Journal of Insect Conservation,17,,
97,Effects of land use and insecticides on natural enemies of aphids in cotton: First evidence from smallholder agriculture in the North China Plain,K. Zhou,2014,"Agriculture, Ecosystems and Environment",183,,
98,Effects of landscape composition on bee communities and coffee pollination in Coffea arabica production forests in southwestern Ethiopia,L. Geeraert,2020,"Agriculture, Ecosystems and Environment",288,,
99,Effects of landscape metrics on Apis and non-Apis pollinators and seed set in common buckwheat,H. Taki,2010,Basic and Applied Ecology,11,,
100,Effects of land-use changes on ecosystem services: decrease in ant predation in human-dominated landscapes in central Brazil,R. Pacheco,2017,Entomologia Experimentalis et Applicata,162,,
101,Effects of native biodiversity on grape loss of four castes: testing the biotic resistance hypothesis,M. Nereu,2018,Web Ecology,18,,
102,Effects of native pollinator communities on the physiological and chemical parameters of loquat tree (Eriobotrya japonica) under open field condition,S.  Ahmad,2021,Saudi Journal of Biological Sciences,28,,
103,"Effects of organic farming, fencing and vegetation origin on spiders and beetles within shelterbelts on dairy farms",Y. Fukuda,2011,New Zealand Journal of Agricultural Research,54,,
104,Effects of reflective groundcovers on ground beetles (Coleoptera: Carabidae) in red raspberry (Rubus idaeus) cropping systems,C. Comeau,2011,Journal of Applied Ecology,137,,
105,Effects of shade and bird exclusion on arthropods and leaf damage on coffee farms in Jamaica’s Blue Mountains,M. Johnson,2009,Agroforest Systems,76,,
106,Effects of spontaneous field margin vegetation and surrounding landscape on Brassica oleracea crop herbivory,A. Bischoff,2016,"Agriculture, Ecosystems and Environment",223,,
107,Effects of Tea Plantations on Stream Invertebrates in a Global Biodiversity Hotspot in Africa,O. Biervliet,2009,Biotropica,41,,
108,Effects of the veterinary anthelmintic moxidectin on dung beetle survival and dung removal,P. Manning,2018,Entomologia Experimentalis et Applicata,166,,
109,Efects of vineyard inter‑row management on the diversity  and abundance of plants and surface‑dwelling invertebrates in Central Romania,C. Fiera,2020,Journal of Insect Conservation,24,,
110,Enhancing Invertebrate Food Resources for Skylarks in Cereal Ecosystems: How Useful AreIn-Crop Agri-Environment Scheme Management Options?,B. Smith,2009,Journal of Applied Ecology,46,,
111,Enhancing the parasitism of insect herbivores through diversifcation of habitat in Philippine rice felds,Q. Vu,2018,Paddy and Water Environment,16,,
112,"Entomofaunistic Diversity in a Transgenic Cotton (Gossypium hirsutum L.) Agroecosystem in Coahuila, Mexico",C. Márquez-Hernández,2014,Southwestern Entomologist,39,,
113,Environmentally friendly landscape management improves oilseed rape yields by increasing pollinators and reducing pests,T. Perrot ,2021,Journal of Applied Ecology,59,,
114,"Epigeal arthropod communities in intensively farmed landscapes: Effects of land use mosaics, neighbourhood heterogeneity, and field position",G. Molina,2014,"Agriculture, Ecosystems and Environment",192,,
115,Epigeic fauna (with emphasis on ant community) response to land-use change for sugarcane expansion in Brazil,B. Vanolli,2021,Acta Oecologica,110,,
116,Establishing next-generation pest control services in rice felds: eco-agriculture,M. Ali,2019,Scientific Reports,9,,
117,Evaluating a trait-based approach to compare natural enemy and pest communities in agroforestry vs. arable systems,T. Staton,2021,Ecological Applications,31,,
118,Evidence for multi-trophic effects of pesticide seed treatments on nontargeted soil fauna,L. Atwood,2018,Soil Biology and Biochemistry,125,,
119,Exotic flies maintain pollination services as native pollinators decline with agricultural expansion,J. Stavert,2017,Journal of Applied Ecology,55,,
120,Experimental Biodiversity Enrichment in Oil-Palm-Dominated Landscapes in Indonesia,M. Teuscher,2016,Frontiers in Plant Science,7,,
121,Exploring the interactions between resource availability and the utilisation of semi-natural habitats by insect pollinators in an intensive agricultural landscape,L. Cole,2017,"Agriculture, Ecosystems and Environment",246,,
122,"Exploring the relationships between landscape complexity, wild bee species richness and reproduction, and pollination services along a complexity gradient in the Netherlands",T. Bukovinszky,2017,Biological Conservation,214,,
123,Extrafloral Nectar in an Apple Ecosystem to Enhance Biological Control,M. Brown,2010,Journal of Economic Entomology,103,,
