Article_Number,Spatial_Scale,Primary_Enviro_Variable,Secondary_Enviro_Variable,Primary_Management_Type,Secondary_Management_Type,Third_Management_Type,Primary_Farm_Type,Secondary_Farm_Type,Primary_Farm_Specific,Secondary_Farm_Specific,Continent,Country,Climate,Biome,Lat,Long,Primary_Habitat,Secondary_Habitat,Primary_Taxon,Secondary_Taxon,Third_Taxon,Primary_Ecosystem_Service,Secondary_Ecosystem_Service,Primary_Method,Secondary_Method,Third_Method,Primary_Result,Secondary_Result,Third_Result,Fourth_Result,Functional_Groups,Primary_Functional,Secondary_Functional,Third_Functional,Notes
1,Both,Proportion_Farming,Proportion_Habitat,Unspecified,NA,NA,Orchid,NA,Olive_Grove,NA,Europe,Spain,Mediterrane,Mediterrane,NA,NA,Mediterranean_scrubland,NA,Diptera,NA,NA,Pollination,Natural_Enemies,Sticky_Traps,NA,NA,Abundance,Richness,Composition,NA,No,NA,NA,NA,
2,No_Enviro_Variable,NA,NA,Intensity_Gradient,NA,NA,Agroforestry,Cropping,Various_Palm_Plantations,Rice,Asia,India,Tropical_Subtropical,Tropical_Subtropical_Forest,11.25,76.283333,Evergreen_Forest,Moist_Deciduous_Forest,Endogeic_Community,NA,NA,Decomp_Soil_Properties,NA,Soil_Monoliths,NA,NA,Abundance,Richness,NA,NA,No,NA,NA,NA,
3,Site,Soil_Properties,NA,Unspecified,NA,NA,Agroforestry,NA,Eucalyptus_Plantation,Acacia_Plantation,South_America,Brazil,Tropical_Subtropical,Tropical_Subtropical_Forest,-23.033611,-49.625,NA,NA,Endogeic_Community,NA,NA,Decomp_Soil_Properties,NA,Soil_Monoliths,Leaf_Litter_Sample,NA,Density,Diversity,Richness,NA,No,NA,NA,NA,
4,Landscape,Distance_To_Habitat,NA,Unspecified,NA,NA,Agroforestry,NA,Oil_Palm_Plantation,NA,Asia,Indonesia,Tropical_Subtropical,Tropical_Subtropical_Forest,NA,NA,Lowland_Dipterocarp_Forest,NA,Flying_Community,Coleoptera,NA,Pollination,NA,Sticky_Traps,NA,NA,Abundance,NA,NA,NA,No,NA,NA,NA,
5,Both,Proportion_Habitat,NA,Conventional,AgEnviroScheme,NA,Unspecified,NA,Unspecified,NA,Europe,Ireland,Temperate,Temperate_Forest,NA,NA,Grassland,NA,Flying_Community,NA,NA,Biodiversity_Ecosystem_Resilience,NA,Flight_interception_traps,NA,NA,Abundance,Diversity,NA,NA,Yes,Trophic_Group,NA,NA,
6,Site,Proportion_Veg,Proportion_Bare_Ground,Unspecified,NA,NA,Cropping,Livestock,Cereal,Cattle_Grazing,Oceania,Australia,Temperate,Temperate_Forest,NA,NA,Woodland,Grassland,Formicidae,NA,NA,Bio_Indicators,NA,Pitfall_trap,NA,NA,Abundance,Richness,NA,NA,Yes,Trophic_Group,NA,NA,
7,Site,Veg_Species,NA,Conventional,AgEnviroScheme,NA,Cropping,Livestock,Cattle_Grazing,Silage,Europe,Ireland,Temperate,Temperate_Forest,NA,NA,Grassland,NA,Surface_Active,NA,NA,Bio_Indicators,NA,Pitfall_trap,NA,NA,Abundance,Richness,NA,NA,No,NA,NA,NA,
8,Site,Veg_Species_Rich,Proportion_Flowers,Organic,Conventional,NA,Cropping,NA,Wheat,NA,Europe,Germany,Temperate,Temperate_Forest,NA,NA,NA,NA,Hymenoptera,NA,NA,Pollination,NA,Visual,Sweep_Netting,NA,Abundance,Richness,NA,NA,No,NA,NA,NA,
9,Site,Veg_Species,NA,Unspecified,NA,NA,Unspecified,NA,Unspecified,NA,Europe,Belgium,Temperate,Temperate_Forest,50.6,4.566667,NA,NA,Hymenoptera,NA,NA,Pollination,NA,Visual,NA,NA,Density,Insect_Flower_Interactions,NA,NA,No,NA,NA,NA,
10,Site,Veg_Species_Rich,Proportion_Veg,Conventional,Agroecological,NA,Cropping,NA,Various_Crops,NA,South_America,Argentina,Temperate,Temperate_Grasslands,31.833333,64.333333,NA,NA,Plant_Dwelling,NA,NA,Biological_Control,NA,Beat_Sheet,NA,NA,Abundance,Richness,Diversity,NA,Yes,Trophic_Group,NA,NA,
11,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Agroforestry,NA,Oil_Palm_Plantation,NA,Asia,Malaysia,Tropical_Subtropical,Tropical_Subtropical_Forest,2.783611,102.922778,NA,NA,Surface_Active,NA,NA,Biodiversity_Ecosystem_Resilience,NA,Pitfall_trap,NA,NA,Abundance,Composition,NA,NA,Yes,Trophic_Group,NA,NA,
12,Site,Proportion_Veg,Veg_Species_Rich,Unspecified,NA,NA,Orchid,NA,Almond_Orchid,NA,Oceania,Australia,Temperate,Temperate_Grasslands,-34,142,Mallee_Woodland,NA,Hymenoptera,Diptera,NA,Pollination,NA,Pan_trap,NA,NA,Abundance,Richness,Composition,NA,No,NA,NA,NA,
13,Site,Inflorescence,NA,Conventional,AgEnviroScheme,NA,Cropping,NA,Wheat,NA,Europe,France,Temperate,Temperate_Forest,46.483333,-0.966667,NA,NA,Coleoptera,Hymenoptera,Lepidoptera,Pollination,Natural_Enemies,Pitfall_trap,Visual,NA,Abundance,NA,NA,NA,No,NA,NA,NA,
14,Site,Distance_To_Flowers,NA,Unspecified,NA,NA,Veg_Fruit_Ground,NA,Faba_Bean,NA,Europe,Sweden,Boreal,Boreal,NA,NA,NA,NA,Flying_Community,Surface_Active,NA,Pollination,Biological_Control,Visual,Pitfall_trap,NA,Density,Diversity,Behaviour_Activity,NA,No,NA,NA,NA,
15,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Cropping,NA,Maize,Switchgrass,North_America,USA,Temperate,Temperate_Forest,42.405,-85.400556,Prairie,Forest,Formicidae,NA,NA,Bio_Indicators,NA,Pitfall_trap,NA,NA,Richness,Diversity,Composition,NA,No,NA,NA,NA,
16,No_Enviro_Variable,NA,NA,Organic,Conventional,NA,Cropping,NA,Wheat,NA,North_America,USA,Temperate,Temperate_Forest,42.405,-85.400556,NA,NA,Formicidae,NA,NA,Bio_Indicators,NA,Pitfall_trap,NA,NA,Composition,Richness,Behaviour_Activity,NA,No,NA,NA,NA,
17,No_Enviro_Variable,NA,NA,Intensity_Gradient,NA,NA,Cropping,NA,Various_Annual_Crops,Various_Perennial_Crops,Europe,Croatia,Temperate,Temperate_Forest,45.816667,15.983333,Forest,Meadow,Formicidae,NA,NA,Decomp_Soil_Properties,NA,Pitfall_trap,NA,NA,Richness,Abundance,Diversity,NA,No,NA,NA,NA,
18,Landscape,Proportion_Habitat,NA,Intensity_Gradient,NA,NA,Orchid,NA,Acai_Fruit,NA,South_America,Brazil,Tropical_Subtropical,Tropical_Subtropical_Forest,-1.45,-48.5,Floodplain_Forest,NA,Hymenoptera,Formicidae,Coleoptera,Pollination,NA,Visual,NA,NA,Abundance,Insect_Flower_Interactions,NA,NA,Yes,Specialised_Or_Not,NA,NA,
19,Landscape,Landscape_Complexity,NA,Organic,NA,NA,Veg_Fruit_Ground,NA,Various_Veg,NA,South_America,Brazil,Tropical_Subtropical,Tropical_Subtropical_Grasslands,NA,NA,NA,NA,Formicidae,NA,NA,Natural_Enemies,NA,Sentinel_Artificial_Prey,Pitfall_trap,NA,Predation_Rate,Richness,Occurrence,NA,No,NA,NA,NA,
20,Site,Proportion_Habitat,NA,Unspecified,NA,NA,Cropping,NA,Various_Crops,NA,Europe,Spain,Mediterrane,Mediterrane,36.733333,-2.733333,NA,NA,Aphididae,Plant_Dwelling,NA,Biological_Control,NA,Sticky_Traps,Suction,NA,Composition,Abundance,NA,NA,No,NA,NA,NA,
